Order Date,Order Priority,Order Quantity,Sales,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Customer Segment,Product Category,company
12/31/2011,Not Specified,8,61.8715,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,Home Office,Technology,A
8/12/2009,High,7,384.33,Regular Air,87.68,58.1,1.49,Ann Chong,Corporate,Office Supplies,A
8/12/2009,High,3,239.03,Regular Air,-68.22,80.48,4.5,Ann Chong,Corporate,Office Supplies,A
11/12/2011,Low,44,3922.42,Regular Air,-354.9,92.23,39.61,Joy Bell,Home Office,Furniture,A
11/12/2011,Low,25,1733.3625,Regular Air,-267.01,85.99,0.99,Joy Bell,Home Office,Technology,A
1/20/2012,High,19,208.28,Regular Air,3.63,11.48,5.43,Skye Norling,Home Office,Office Supplies,A
3/20/2009,Medium,6,9620.82,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Corporate,Office Supplies,A
7/21/2012,Low,40,255.48,Regular Air,-116.79,6.48,6.65,Grant Carroll,Corporate,Office Supplies,A
7/21/2012,Low,18,130.32,Express Air,-67.28,6.48,7.86,Grant Carroll,Corporate,Office Supplies,A
6/12/2012,Critical,11,312.36,Express Air,-19.33,28.15,8.99,Adrian Hane,Corporate,Office Supplies,A
1/15/2009,Low,41,217,Regular Air,-61.21,4.98,4.75,Skye Norling,Home Office,Office Supplies,A
1/15/2009,Low,47,296.13,Regular Air,119.09,6.35,1.02,Skye Norling,Home Office,Office Supplies,A
6/4/2010,Low,40,436.17,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Consumer,Office Supplies,A
2/18/2010,Not Specified,18,136.29,Regular Air,-77.28,7.3,7.72,Ralph Knight,Consumer,Office Supplies,A
11/16/2011,Not Specified,32,1311.25,Express Air,407.44,39.48,1.99,Dorothy Wardle,Corporate,Technology,A
11/16/2011,Not Specified,5,544.41,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Corporate,Furniture,A
11/16/2011,Not Specified,41,844.09,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Corporate,Furniture,A
8/7/2011,Low,22,6396.2,Regular Air,1902.24,276.2,24.49,Grant Carroll,Corporate,Furniture,A
6/8/2010,Medium,50,751.77,Regular Air,353.2,15.67,1.39,Barry Weirich,Corporate,Office Supplies,A
10/17/2009,Medium,37,1003.06,Regular Air,271.78,25.98,5.37,Beth Paige,Consumer,Office Supplies,A
8/28/2011,High,4,1266.72,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Corporate,Furniture,A
9/29/2011,Critical,19,368.04,Express Air,70.39,19.98,5.97,Nicole Hansen,Small Business,Office Supplies,A
9/29/2011,Critical,24,152.6,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Small Business,Office Supplies,A
5/4/2012,Low,40,3338.98,Regular Air,-846.73,80.98,35,Nicole Hansen,Small Business,Office Supplies,A
5/17/2011,High,5,24.16,Express Air,8.05,1.88,1.49,Beth Paige,Consumer,Office Supplies,A
5/17/2011,High,41,270.84,Express Air,-78.02,6.48,5.86,Beth Paige,Consumer,Office Supplies,A
5/17/2011,High,35,3389.93,Express Air,737.94,102.3,21.26,Beth Paige,Consumer,Furniture,A
5/17/2011,High,42,266.36,Regular Air,-191.28,6.48,8.19,Beth Paige,Consumer,Office Supplies,A
5/17/2011,High,46,89.41,Regular Air,-21.49,1.89,0.76,Beth Paige,Consumer,Office Supplies,A
11/17/2009,Medium,47,2799.7,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Corporate,Office Supplies,A
10/10/2011,Not Specified,7,2039.56,Express Air,-329.49,279.48,35,Bryan Davis,Corporate,Office Supplies,A
10/7/2012,Not Specified,36,12175.82,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Home Office,Furniture,A
10/7/2012,Not Specified,5,101.21,Express Air,2.13,18.97,5.21,Joy Bell,Home Office,Office Supplies,A
10/7/2012,Not Specified,32,1585.64,Regular Air,707.15,48.91,5.81,Joy Bell,Home Office,Office Supplies,A
8/13/2011,Medium,44,176.26,Regular Air,75.13,4.13,0.5,Alan Barnes,Corporate,Office Supplies,A
8/16/2011,High,32,4655.07,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Corporate,Furniture,A
8/16/2011,High,44,10087.6,Regular Air,3387.35,218.08,18.06,Grant Carroll,Corporate,Furniture,A
8/16/2011,High,34,1608.08,Express Air,-82.16,50.98,6.5,Grant Carroll,Corporate,Technology,A
3/4/2009,Low,1,12.18,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Small Business,Office Supplies,A
8/18/2009,Critical,50,820.52,Regular Air,-191.22,15.99,13.18,Don Jones,Corporate,Office Supplies,A
11/16/2010,Not Specified,29,6250.936,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Corporate,Furniture,A
5/27/2011,Low,25,854.88,Regular Air,-44.14,33.98,19.99,Doug Bickford,Corporate,Furniture,A
5/27/2011,Low,46,80.27,Regular Air,-0.79,1.76,0.7,Doug Bickford,Corporate,Office Supplies,A
8/23/2010,Not Specified,15,308.54,Express Air,76.42,19.84,4.1,Jamie Kunitz,Corporate,Office Supplies,A
8/19/2011,Not Specified,20,400.57,Regular Air,93.36,19.98,5.77,Anthony Johnson,Small Business,Office Supplies,A
1/3/2012,Medium,14,1170.025,Regular Air,4.22,95.99,8.99,Ralph Knight,Consumer,Technology,A
11/29/2012,High,48,5188.86,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,Small Business,Office Supplies,A
3/17/2012,Medium,8,339.81,Regular Air,79.59,43.41,2.99,Barry Weirich,Corporate,Office Supplies,A
4/12/2010,Low,15,1519.9,Regular Air,399.37,105.34,24.49,Doug Bickford,Corporate,Furniture,A
8/24/2010,High,30,102.24,Regular Air,37.79,3.69,0.5,Carl Jackson,Home Office,Office Supplies,A
7/4/2011,High,6,965.69,Delivery Truck,-144.2,146.34,43.75,Brendan Dodson,Corporate,Furniture,A
11/10/2010,Critical,25,397.84,Regular Air,-14.75,15.22,9.73,Edward Hooks,Consumer,Office Supplies,A
6/24/2010,Critical,4,73.07,Regular Air,-41.01,15.7,11.25,Jamie Kunitz,Corporate,Office Supplies,A
6/24/2010,Critical,26,4679.1,Delivery Truck,111.52,179.29,29.21,Jamie Kunitz,Corporate,Furniture,A
9/19/2012,Medium,46,8009.5925,Regular Air,2332.4,200.99,8.08,Michelle Lonsdale,Home Office,Technology,A
9/19/2012,Medium,23,4689.66,Regular Air,2176.19,194.3,11.54,Michelle Lonsdale,Home Office,Furniture,A
12/24/2011,Low,25,3019.41,Regular Air,1269.05,120.97,7.11,Brendan Dodson,Corporate,Technology,A
3/23/2012,Medium,5,36.86,Regular Air,-32.82,5.81,8.49,Hunter Glantz,Corporate,Office Supplies,A
10/15/2011,Critical,12,22079.47,Regular Air,5322.14,1938.02,13.99,Sylvia Foulston,Corporate,Technology,A
8/7/2010,Critical,24,5407.31,Delivery Truck,1068.48,226.67,28.16,Eugene Barchas,Home Office,Furniture,A
3/3/2009,Low,34,74.3,Regular Air,-129.01,2.08,5.33,Jim Radford,Corporate,Furniture,A
2/9/2010,Low,44,21506.77,Regular Air,1260.51,499.99,24.49,Carlos Soltero,Small Business,Technology,A
2/9/2010,Low,28,669.02,Delivery Truck,-1274.02,20.98,53.03,Carlos Soltero,Small Business,Office Supplies,A
1/17/2009,Critical,40,1143.49,Regular Air,-193.44,30.53,19.99,Carlos Soltero,Small Business,Office Supplies,A
1/17/2009,Critical,46,78.08,Regular Air,-43.1,1.68,1.57,Carlos Soltero,Small Business,Office Supplies,A
8/30/2010,Critical,19,5297.47,Delivery Truck,-158.93,270.98,50,Jim Radford,Corporate,Furniture,A
8/30/2010,Critical,20,95.3,Regular Air,29.68,4.48,1.22,Jim Radford,Corporate,Office Supplies,A
9/11/2009,High,40,460.68,Regular Air,-116.76,10.9,7.46,Grant Carroll,Small Business,Office Supplies,A
9/11/2009,High,49,318.7585,Regular Air,-160.95,7.99,5.03,Grant Carroll,Small Business,Technology,A
7/16/2009,Not Specified,47,1020.61,Regular Air,-209.61,21.66,13.99,Skye Norling,Home Office,Office Supplies,A
11/15/2012,Low,44,268.34,Regular Air,-240.83,6.48,8.88,Doug Bickford,Corporate,Office Supplies,A
9/10/2011,Low,6,209,Regular Air,12.32,35.44,7.5,Grant Carroll,Small Business,Office Supplies,A
4/10/2011,Not Specified,30,501.32,Regular Air,-119.08,15.99,13.18,Muhammed MacIntyre,Small Business,Office Supplies,A
4/10/2011,Not Specified,0,275.16,Express Air,NA,11.34,5.01,Muhammed MacIntyre,Small Business,Office Supplies,A
4/10/2011,Not Specified,37,1302.99,Regular Air,545.49,35.44,5.09,Muhammed MacIntyre,Small Business,Office Supplies,A
10/9/2011,High,1,40.1,Regular Air,-16.07,30.98,11.63,Doug Bickford,Small Business,Office Supplies,A
10/9/2011,High,42,1414.05,Regular Air,161.48,34.54,14.72,Doug Bickford,Small Business,Office Supplies,A
10/23/2012,Critical,34,5350.61,Delivery Truck,-1059.2,170.98,60.49,Beth Thompson,Corporate,Furniture,A
1/8/2012,Low,15,310.87,Regular Air,-21.48,20.95,4,Ralph Knight,Consumer,Technology,A
1/25/2010,Not Specified,48,9062.73,Regular Air,3122.78,207.48,0.99,Carl Jackson,Home Office,Office Supplies,A
1/25/2010,Not Specified,27,1584.1,Delivery Truck,-478.22,58.14,36.61,Carl Jackson,Home Office,Furniture,A
1/27/2011,Not Specified,42,283.58,Regular Air,-14.23,6.64,4.95,Dorothy Badders,Home Office,Furniture,A
1/27/2011,Not Specified,39,5403.37,Delivery Truck,948.79,145.45,17.85,Dorothy Badders,Home Office,Technology,A
1/27/2011,Not Specified,35,82.15,Regular Air,-6.33,2.21,1.12,Dorothy Badders,Home Office,Office Supplies,A
8/27/2009,High,50,2066.16,Regular Air,372.36,40.99,17.48,Delfina Latchford,Small Business,Office Supplies,A
3/17/2011,Critical,18,4605.36,Delivery Truck,678.26,243.98,43.32,Julia West,Corporate,Furniture,A
3/17/2011,Critical,42,1753.51,Regular Air,155.72,39.98,9.2,Julia West,Corporate,Furniture,A
6/6/2012,Critical,31,426.34,Regular Air,73.53,12.58,5.16,Brad Eason,Small Business,Furniture,A
4/11/2011,High,36,1837.44,Delivery Truck,-1414.41,48.58,54.11,Thomas Seio,Home Office,Furniture,A
4/11/2011,High,36,3722.29,Express Air,950.68,105.98,13.99,Thomas Seio,Home Office,Furniture,A
4/11/2011,High,4,28.05,Regular Air,-5.41,7.04,2.17,Thomas Seio,Home Office,Office Supplies,A
11/6/2012,Low,32,311.44,Regular Air,74.07,9.78,1.99,Monica Federle,Corporate,Technology,A
11/6/2012,Low,17,215.65,Express Air,77.38,12.22,2.85,Monica Federle,Corporate,Furniture,A
5/16/2012,High,3,121.12,Regular Air,-118.82,43.98,1.99,Michelle Lonsdale,Home Office,Technology,A
4/9/2012,Not Specified,8,300.2,Regular Air,6.41,34.76,8.22,Frank Price,Corporate,Office Supplies,A
4/9/2012,Not Specified,29,1364.8025,Regular Air,-183.68,55.99,5,Frank Price,Corporate,Technology,A
8/5/2012,Medium,0,128.21,Regular Air,-55.13,6.48,6.57,Bryan Davis,Corporate,Office Supplies,A
7/22/2009,Not Specified,9,252.79,Regular Air,58.23,30.56,2.99,Don Jones,Corporate,Office Supplies,A
5/9/2010,Not Specified,10,50.97,Regular Air,4.45,5.16,0.73,Carlos Soltero,Small Business,Office Supplies,A
5/9/2010,Not Specified,1,4.99,Regular Air,-3.06,3.68,1.32,Carlos Soltero,Small Business,Office Supplies,A
2/18/2009,Not Specified,-10,10554.63,Delivery Truck,1240.25,355.98,58.92,Nicole Hansen,Corporate,Furniture,A
2/18/2009,Not Specified,8,1749.64,Delivery Truck,-533.23,218.75,69.64,Nicole Hansen,Corporate,Furniture,A
6/27/2012,High,47,1943.72,Regular Air,-1003.58,41.47,34.2,Beth Thompson,Corporate,Furniture,A
6/27/2012,High,6,18.37,Regular Air,-4.06,2.78,1.2,Beth Thompson,Corporate,Office Supplies,A
6/27/2012,High,49,6175.777,Express Air,1881.58,155.99,3.9,Beth Thompson,Corporate,Technology,A
9/30/2010,Medium,6,157.97,Regular Air,-42.38,22.84,16.87,Nicole Hansen,Small Business,Office Supplies,A
4/15/2010,Critical,25,144.84,Regular Air,-120.99,5.78,8.09,Carlos Soltero,Consumer,Office Supplies,A
4/15/2010,Critical,20,127.16,Regular Air,12.88,6.7,1.56,Carlos Soltero,Consumer,Office Supplies,A
9/14/2011,Not Specified,4,5472.12,Delivery Truck,-2816.34,1360.14,14.7,Dorothy Badders,Home Office,Technology,A
9/21/2010,High,7,1810.67,Delivery Truck,-541.87,270.98,50,Muhammed MacIntyre,Small Business,Furniture,A
8/17/2010,Not Specified,31,633.56,Regular Air,-158.87,20.97,6.5,Muhammed MacIntyre,Small Business,Technology,A
9/16/2009,Low,27,644.4,Regular Air,-97.28,22.84,16.87,Don Miller,Home Office,Office Supplies,A
6/22/2009,High,7,1211.98,Delivery Truck,-80.83,180.98,26.2,Sylvia Foulston,Corporate,Furniture,A
8/28/2012,Not Specified,27,3316.08,Delivery Truck,-514.32,130.98,30,Becky Castell,Consumer,Furniture,A
6/7/2011,Critical,48,207.08,Regular Air,-131.82,4.28,5.17,Dorothy Wardle,Corporate,Office Supplies,A
6/7/2011,Critical,8,234.28,Regular Air,-65.42,28.28,13.99,Dorothy Wardle,Corporate,Office Supplies,A
6/7/2011,Critical,41,1779.8915,Regular Air,-250.17,55.99,5,Dorothy Wardle,Corporate,Technology,A
10/9/2009,Not Specified,0,114.12,Regular Air,15.73,3.8,1.49,Ann Chong,Corporate,Office Supplies,A
10/9/2009,Not Specified,15,436.05,Regular Air,-92.58,30.73,4,Ann Chong,Corporate,Technology,A
10/9/2009,Not Specified,49,5247.4835,Regular Air,1465.87,125.99,8.08,Ann Chong,Corporate,Technology,A
12/5/2010,Not Specified,9,173.417,Regular Air,18.23,20.99,0.99,Clay Rozendal,Corporate,Technology,A
6/7/2009,Low,18,23792.93,Regular Air,10951.31,1270.99,19.99,Grant Carroll,Small Business,Office Supplies,A
7/27/2009,Critical,21,256.12,Regular Air,-18.19,11.97,4.98,Brendan Dodson,Corporate,Office Supplies,A
9/5/2011,Low,30,387,Express Air,-31.45,12.28,6.13,Carlos Daly,Home Office,Office Supplies,A
1/11/2009,High,31,1143.45,Regular Air,304.42,39.24,1.99,Alan Barnes,Corporate,Technology,A
8/15/2010,Medium,2,42.31,Regular Air,-53.08,17.98,8.51,Alan Barnes,Corporate,Technology,A
8/15/2010,Medium,11,152.67,Regular Air,12.76,12.95,4.98,Alan Barnes,Corporate,Office Supplies,A
8/5/2009,Not Specified,49,82.61,Regular Air,-46.25,1.68,1.57,Nicole Hansen,Small Business,Office Supplies,A
9/17/2011,Medium,31,789.94,Delivery Truck,-190.41,25.98,14.36,Cari Schnelling,Home Office,Furniture,A
10/22/2011,Low,42,435.24,Express Air,174.89,10.31,1.79,Chad Cunningham,Small Business,Office Supplies,A
11/14/2009,Medium,8,473.7,Regular Air,72.51,59.78,10.29,Bryan Mills,Small Business,Office Supplies,A
11/14/2009,Medium,33,553.5625,Regular Air,-76.86,20.99,1.25,Bryan Mills,Small Business,Technology,A
7/3/2010,Medium,32,54.78,Regular Air,-30.54,1.68,1.57,Adrian Hane,Corporate,Office Supplies,A
7/3/2010,Medium,47,304.83,Regular Air,23.82,7.08,2.35,Adrian Hane,Corporate,Office Supplies,A
1/30/2009,Low,0,16066.85,Regular Air,7416.43,574.74,24.49,Rick Reed,Consumer,Technology,A
3/15/2012,Not Specified,17,618.9,Regular Air,54.92,NA,13.89,Heather Kirkland,Home Office,Office Supplies,A
8/10/2009,Low,35,1665.0395,Regular Air,366.51,55.99,3.3,Fred Wasserman,Home Office,Technology,A
4/1/2010,Low,21,1049.79,Regular Air,135.79,51.75,19.99,Becky Castell,Consumer,Furniture,A
4/1/2010,Low,16,817.18,Regular Air,103.38,55.29,5.08,Becky Castell,Consumer,Office Supplies,A
7/31/2010,High,49,465.83,Regular Air,-79.72,9.65,6.22,Beth Thompson,Corporate,Furniture,A
5/29/2009,Low,13,241.706,Regular Air,-92.96,20.99,3.3,Claudia Miner,Small Business,Technology,A
10/11/2010,High,44,275.91,Regular Air,-162.37,7.99,5.03,Jack Lebron,Corporate,Technology,A
5/18/2010,High,2,30.83,Express Air,7.27,7.64,1.39,Alan Barnes,Corporate,Office Supplies,A
2/8/2011,Critical,13,121.66,Regular Air,-11.8,8.85,5.6,Carlos Soltero,Consumer,Office Supplies,A
12/7/2010,Critical,16,108.42,Regular Air,-50.82,6.48,6.81,Clay Rozendal,Corporate,Office Supplies,A
12/7/2010,Critical,27,78.47,Regular Air,17.99,2.88,0.99,Clay Rozendal,Corporate,Office Supplies,A
1/6/2009,Critical,90,26133.39,Delivery Truck,-11053.6,880.98,44.55,Julia West,Home Office,Furniture,A
3/12/2012,Critical,14,2671.21,Delivery Truck,636.18,200.97,15.59,Alan Barnes,Corporate,Technology,A
8/26/2010,Low,26,531.66,Regular Air,135.65,20.89,1.99,Joy Bell,Home Office,Technology,A
8/26/2010,Low,28,317.85,Regular Air,-13.95,11.58,6.97,Joy Bell,Home Office,Office Supplies,A
8/26/2010,Low,42,163.08,Regular Air,66.17,4.13,0.5,Joy Bell,Home Office,Office Supplies,A
6/20/2011,High,38,103.07,Regular Air,-0.95,2.78,1.34,Jack Lebron,Corporate,Office Supplies,A
8/4/2010,High,1,17.19,Regular Air,-35.34,14.48,1.99,Anthony Johnson,Small Business,Technology,A
8/4/2010,High,27,2689.48,Regular Air,399.93,99.99,19.99,Anthony Johnson,Small Business,Technology,A
8/4/2010,High,2,15.31,Regular Air,-8.15,4.98,4.86,Anthony Johnson,Small Business,Office Supplies,A
11/23/2010,High,-6,270.63,Regular Air,7.07,21.98,8.32,Eugene Barchas,Corporate,Office Supplies,A
11/23/2010,High,43,6583.913,Regular Air,1459.79,195.99,3.99,Eugene Barchas,Corporate,Technology,A
8/2/2009,Not Specified,24,4865.72,Delivery Truck,1951.3,200.97,15.59,Thomas Seio,Home Office,Technology,A
8/10/2011,Critical,23,1003.31,Regular Air,51.9,40.97,14.45,Bryan Mills,Small Business,Furniture,A
8/10/2011,Critical,17,6048.18,Delivery Truck,1418.36,349.45,60,Bryan Mills,Small Business,Furniture,A
5/6/2010,Critical,41,3051.27,Delivery Truck,121.48,80.97,33.6,Eugene Barchas,Home Office,Technology,A
6/28/2012,Low,47,9633.59,Delivery Truck,176.67,216.6,64.2,Sylvia Foulston,Corporate,Furniture,A
6/28/2012,Low,26,3758.77,Regular Air,753.61,140.81,24.49,Sylvia Foulston,Corporate,Furniture,A
3/23/2011,Medium,6,143.78,Regular Air,75.3,22.72,8.99,Carl Ludwig,Corporate,Furniture,A
11/19/2011,Critical,22,440.92,Express Air,-65.18,19.98,10.49,Julia West,Small Business,Furniture,A
11/26/2012,Low,3,4343.51,Delivery Truck,-3755.03,1500.97,29.7,Don Jones,Corporate,Technology,A
7/29/2010,Not Specified,29,593.32,Regular Air,28.99,20.95,4,Mike Pelletier,Corporate,Technology,A
7/29/2010,Not Specified,26,626.07,Express Air,185.32,23.99,6.71,Mike Pelletier,Corporate,Office Supplies,A
5/12/2012,Low,24,557.23,Regular Air,-42.99,24.92,12.98,Eugene Barchas,Home Office,Office Supplies,A
3/3/2012,High,7,261.88,Regular Air,-59.2,39.48,1.99,Ann Chong,Corporate,Technology,A
3/3/2012,High,15,593.73,Regular Air,108.01,38.76,13.26,Ann Chong,Corporate,Office Supplies,A
8/20/2010,High,49,120.77,Regular Air,19.86,2.47,1.02,Charles McCrossin,Corporate,Office Supplies,A
6/27/2010,Not Specified,22,795.74,Delivery Truck,-127.39,33.94,19.19,Annie Cyprus,Home Office,Furniture,A
6/27/2010,Not Specified,31,251.75,Regular Air,22.46,8.33,1.99,Annie Cyprus,Home Office,Technology,A
10/29/2012,Critical,36,697.41,Regular Air,81.71,18.97,9.03,Carlos Soltero,Small Business,Office Supplies,A
1/16/2010,Not Specified,30,4684.9,Delivery Truck,-549.27,NA,66.27,Doug Bickford,Corporate,Furniture,A
6/29/2012,Low,6,905.94,Express Air,-4.19,140.81,24.49,Carlos Daly,Home Office,Furniture,A
8/8/2011,Not Specified,12,270.23,Regular Air,52.02,22.84,5.47,Fred Wasserman,Home Office,Office Supplies,A
8/8/2011,Not Specified,20,660.27,Express Air,63.83,34.76,5.49,Fred Wasserman,Home Office,Office Supplies,A
2/21/2010,Medium,11,32.4,Regular Air,8.78,2.88,0.5,Sylvia Foulston,Corporate,Office Supplies,A
6/20/2011,Medium,26,4688.9485,Regular Air,1215.44,205.99,5.26,Michelle Lonsdale,Corporate,Technology,A
9/4/2009,Critical,8,50.7,Regular Air,-44.07,5.4,7.78,Sylvia Foulston,Corporate,Office Supplies,A
9/4/2009,Critical,10,90.06,Express Air,-100.51,8.46,8.99,Sylvia Foulston,Corporate,Technology,A
9/4/2009,Critical,22,338.52,Regular Air,-17.75,14.98,8.99,Sylvia Foulston,Corporate,Furniture,A
9/4/2009,Critical,48,6109.817,Regular Air,1374.95,155.99,8.08,Sylvia Foulston,Corporate,Technology,A
6/21/2009,Not Specified,1,34.11,Regular Air,-12.95,25.38,8.99,Charlotte Melton,Home Office,Furniture,A
2/8/2012,Critical,48,538.22,Regular Air,-154.66,10.97,6.5,Barry French,Consumer,Technology,A
3/11/2009,High,11,1064.23,Regular Air,-127.56,99.99,19.99,Heather Kirkland,Home Office,Technology,A
3/11/2009,High,18,3497.05,Regular Air,282.18,193.17,19.99,Heather Kirkland,Home Office,Office Supplies,A
3/11/2009,High,44,774.0525,Express Air,-96.34,20.99,3.3,Heather Kirkland,Home Office,Technology,A
